Area,Midpoint,Confidence,ID,Class
2341.5945,"(731.9027709960938, 532.5865478515625)",0.5854429,1.0,2.0
2332.1436,"(731.7279052734375, 532.5932006835938)",0.57865727,1.0,2.0
2325.156,"(731.6749267578125, 532.442626953125)",0.5933224,1.0,2.0
2413.3398,"(730.9761352539062, 531.3289794921875)",0.6158632,1.0,2.0
2436.6907,"(731.0074462890625, 530.8428955078125)",0.5982588,1.0,2.0
2360.4492,"(732.5116577148438, 531.14501953125)",0.58771163,1.0,2.0
2466.1123,"(732.24853515625, 530.186767578125)",0.5881544,1.0,2.0
2504.1104,"(734.644287109375, 532.8685302734375)",0.6001981,1.0,2.0
2596.006,"(735.072998046875, 533.3572387695312)",0.6031714,1.0,2.0
2583.7761,"(735.8001098632812, 534.3594970703125)",0.6004245,1.0,2.0
2610.637,"(735.1611328125, 533.74755859375)",0.5980282,1.0,2.0
2486.5696,"(734.7098388671875, 532.6583251953125)",0.60478306,1.0,2.0
2411.331,"(734.204345703125, 532.1402587890625)",0.5995885,1.0,2.0
2331.1423,"(733.8905029296875, 532.6365356445312)",0.54172903,1.0,2.0
2346.7598,"(732.861083984375, 532.0988159179688)",0.5669087,1.0,2.0
2385.0916,"(732.5972900390625, 532.1632690429688)",0.5851231,1.0,2.0
2370.1362,"(733.0654296875, 532.66796875)",0.5934757,1.0,2.0
2362.78,"(733.1367797851562, 532.4913940429688)",0.57435614,1.0,2.0
2347.5715,"(733.054443359375, 532.1026611328125)",0.5806713,1.0,2.0
2453.878,"(732.5833740234375, 532.188720703125)",0.6562832,1.0,2.0
2510.8025,"(732.549072265625, 532.441162109375)",0.6156398,1.0,2.0
2527.6284,"(732.9501953125, 532.5415649414062)",0.61088675,1.0,2.0
2584.4863,"(733.2656860351562, 533.2335205078125)",0.6135438,1.0,2.0
2641.404,"(734.119140625, 534.0335693359375)",0.5977082,1.0,2.0
2646.5032,"(734.5726318359375, 534.1055297851562)",0.5740936,1.0,2.0
2628.023,"(734.381591796875, 533.915283203125)",0.572287,1.0,2.0
2650.6128,"(734.2553100585938, 534.5191040039062)",0.5974773,1.0,2.0
2560.645,"(733.43798828125, 533.22998046875)",0.5539442,1.0,2.0
2543.8965,"(732.9953002929688, 532.7694091796875)",0.54738927,1.0,2.0
2483.0679,"(733.3906860351562, 533.8546142578125)",0.5810693,1.0,2.0
2426.1433,"(733.7757568359375, 534.3165283203125)",0.56733656,1.0,2.0
2438.3433,"(732.5062255859375, 533.3645629882812)",0.5919856,1.0,2.0
2446.26,"(732.0118408203125, 532.9461669921875)",0.59988,1.0,2.0
2435.8228,"(731.7806396484375, 532.6874389648438)",0.5925495,1.0,2.0
2390.8855,"(731.5870361328125, 532.40576171875)",0.557377,1.0,2.0
2406.696,"(731.5408935546875, 532.1051025390625)",0.5557846,1.0,2.0
2417.38,"(731.2335205078125, 530.9974975585938)",0.5586914,1.0,2.0
2420.8132,"(731.4904174804688, 530.9701538085938)",0.55394197,1.0,2.0
2424.6318,"(732.078369140625, 531.7510375976562)",0.49403718,1.0,2.0
2438.9385,"(732.3221435546875, 531.83349609375)",0.52979577,1.0,2.0
2440.6091,"(732.2855224609375, 531.7344970703125)",0.53468907,1.0,2.0
2444.6768,"(732.9405517578125, 532.2401123046875)",0.50335807,1.0,2.0
2321.664,"(733.5059204101562, 532.71337890625)",0.4795369,1.0,2.0
2367.0713,"(734.1981201171875, 533.8818969726562)",0.5276356,1.0,2.0
2343.5823,"(734.5128173828125, 534.34423828125)",0.4956681,1.0,2.0
2343.5518,"(734.2646484375, 534.6988525390625)",0.50777435,1.0,2.0
2353.6567,"(733.8986206054688, 534.896484375)",0.52206075,1.0,2.0
2364.0186,"(733.8966064453125, 535.344482421875)",0.54404396,1.0,2.0
2377.9446,"(733.8626708984375, 535.4608154296875)",0.5490797,1.0,2.0
2387.491,"(734.0086059570312, 535.3181762695312)",0.5440403,1.0,2.0
2377.5188,"(734.2470092773438, 535.2322387695312)",0.52314675,1.0,2.0
2364.0945,"(734.344482421875, 535.009033203125)",0.50080174,1.0,2.0
2486.4116,"(734.1571044921875, 534.2254028320312)",0.5056633,1.0,2.0
2554.1743,"(734.68310546875, 534.3494873046875)",0.49132144,1.0,2.0
2583.1558,"(735.154052734375, 535.0328979492188)",0.5025944,1.0,2.0
2604.5105,"(734.7576904296875, 533.7940673828125)",0.5939825,1.0,2.0
2618.4766,"(734.5969848632812, 533.2576904296875)",0.6010931,1.0,2.0
2612.5325,"(734.5897827148438, 533.1387939453125)",0.59062403,1.0,2.0
2614.5496,"(734.3787841796875, 532.9307861328125)",0.60003024,1.0,2.0
