ID	Class	Confidence	Midpoint	Area
1.0	2.0	0.5935498	(732.4092407226562, 532.222412109375)	2328.6865
1.0	2.0	0.5926352	(731.968505859375, 532.2938842773438)	2341.3867
1.0	2.0	0.5854429	(731.9027709960938, 532.5865478515625)	2341.5945
1.0	2.0	0.57865727	(731.7279052734375, 532.5932006835938)	2332.1436
1.0	2.0	0.5933224	(731.6749267578125, 532.442626953125)	2325.156
1.0	2.0	0.6158632	(730.9761352539062, 531.3289794921875)	2413.3398
1.0	2.0	0.5982588	(731.0074462890625, 530.8428955078125)	2436.6907
1.0	2.0	0.58771163	(732.5116577148438, 531.14501953125)	2360.4492
1.0	2.0	0.5881544	(732.24853515625, 530.186767578125)	2466.1123
1.0	2.0	0.6001981	(734.644287109375, 532.8685302734375)	2504.1104
1.0	2.0	0.6031714	(735.072998046875, 533.3572387695312)	2596.006
1.0	2.0	0.6004245	(735.8001098632812, 534.3594970703125)	2583.7761
1.0	2.0	0.5980282	(735.1611328125, 533.74755859375)	2610.637
1.0	2.0	0.60478306	(734.7098388671875, 532.6583251953125)	2486.5696
1.0	2.0	0.5995885	(734.204345703125, 532.1402587890625)	2411.331
1.0	2.0	0.54172903	(733.8905029296875, 532.6365356445312)	2331.1423
1.0	2.0	0.5669087	(732.861083984375, 532.0988159179688)	2346.7598
1.0	2.0	0.5851231	(732.5972900390625, 532.1632690429688)	2385.0916
1.0	2.0	0.5934757	(733.0654296875, 532.66796875)	2370.1362
1.0	2.0	0.57435614	(733.1367797851562, 532.4913940429688)	2362.78
1.0	2.0	0.5806713	(733.054443359375, 532.1026611328125)	2347.5715
1.0	2.0	0.6562832	(732.5833740234375, 532.188720703125)	2453.878
1.0	2.0	0.6156398	(732.549072265625, 532.441162109375)	2510.8025
1.0	2.0	0.61088675	(732.9501953125, 532.5415649414062)	2527.6284
1.0	2.0	0.6135438	(733.2656860351562, 533.2335205078125)	2584.4863
1.0	2.0	0.5977082	(734.119140625, 534.0335693359375)	2641.404
1.0	2.0	0.5740936	(734.5726318359375, 534.1055297851562)	2646.5032
1.0	2.0	0.572287	(734.381591796875, 533.915283203125)	2628.023
1.0	2.0	0.5974773	(734.2553100585938, 534.5191040039062)	2650.6128
1.0	2.0	0.5539442	(733.43798828125, 533.22998046875)	2560.645
1.0	2.0	0.54738927	(732.9953002929688, 532.7694091796875)	2543.8965
1.0	2.0	0.5810693	(733.3906860351562, 533.8546142578125)	2483.0679
1.0	2.0	0.56733656	(733.7757568359375, 534.3165283203125)	2426.1433
1.0	2.0	0.5919856	(732.5062255859375, 533.3645629882812)	2438.3433
1.0	2.0	0.59988	(732.0118408203125, 532.9461669921875)	2446.26
1.0	2.0	0.5925495	(731.7806396484375, 532.6874389648438)	2435.8228
1.0	2.0	0.557377	(731.5870361328125, 532.40576171875)	2390.8855
1.0	2.0	0.5557846	(731.5408935546875, 532.1051025390625)	2406.696
1.0	2.0	0.5586914	(731.2335205078125, 530.9974975585938)	2417.38
1.0	2.0	0.55394197	(731.4904174804688, 530.9701538085938)	2420.8132
1.0	2.0	0.49403718	(732.078369140625, 531.7510375976562)	2424.6318
1.0	2.0	0.52979577	(732.3221435546875, 531.83349609375)	2438.9385
1.0	2.0	0.53468907	(732.2855224609375, 531.7344970703125)	2440.6091
1.0	2.0	0.50335807	(732.9405517578125, 532.2401123046875)	2444.6768
1.0	2.0	0.4795369	(733.5059204101562, 532.71337890625)	2321.664
1.0	2.0	0.5276356	(734.1981201171875, 533.8818969726562)	2367.0713
1.0	2.0	0.4956681	(734.5128173828125, 534.34423828125)	2343.5823
1.0	2.0	0.50777435	(734.2646484375, 534.6988525390625)	2343.5518
1.0	2.0	0.52206075	(733.8986206054688, 534.896484375)	2353.6567
1.0	2.0	0.54404396	(733.8966064453125, 535.344482421875)	2364.0186
1.0	2.0	0.5490797	(733.8626708984375, 535.4608154296875)	2377.9446
1.0	2.0	0.5440403	(734.0086059570312, 535.3181762695312)	2387.491
1.0	2.0	0.52314675	(734.2470092773438, 535.2322387695312)	2377.5188
1.0	2.0	0.50080174	(734.344482421875, 535.009033203125)	2364.0945
1.0	2.0	0.5056633	(734.1571044921875, 534.2254028320312)	2486.4116
1.0	2.0	0.49132144	(734.68310546875, 534.3494873046875)	2554.1743
1.0	2.0	0.5025944	(735.154052734375, 535.0328979492188)	2583.1558
1.0	2.0	0.5939825	(734.7576904296875, 533.7940673828125)	2604.5105
1.0	2.0	0.6010931	(734.5969848632812, 533.2576904296875)	2618.4766
1.0	2.0	0.59062403	(734.5897827148438, 533.1387939453125)	2612.5325
1.0	2.0	0.60003024	(734.3787841796875, 532.9307861328125)	2614.5496
1.0	2.0	0.5991061	(733.7168579101562, 532.4185180664062)	2617.4763
1.0	2.0	0.5662991	(733.6689453125, 532.322265625)	2532.6223
1.0	2.0	0.59306014	(732.996826171875, 531.562255859375)	2524.8813
1.0	2.0	0.604959	(732.645751953125, 531.035888671875)	2531.1414
1.0	2.0	0.5931434	(732.609375, 531.1993408203125)	2529.1626
1.0	2.0	0.56044686	(732.9442749023438, 532.12939453125)	2504.5325
1.0	2.0	0.5325429	(733.5232543945312, 533.91455078125)	2546.9275
1.0	2.0	0.48326796	(734.3748168945312, 536.285400390625)	2363.789
1.0	2.0	0.4578447	(734.4417724609375, 536.5845336914062)	2591.723
1.0	2.0	0.39021686	(735.405517578125, 537.2776489257812)	2504.9385
1.0	2.0	0.44010434	(736.0628662109375, 537.706298828125)	2345.0967
1.0	2.0	0.4220671	(735.9298706054688, 535.9583740234375)	2638.281
1.0	2.0	0.5034401	(735.60400390625, 534.83642578125)	2822.012
1.0	2.0	0.5213717	(735.3602294921875, 534.1597900390625)	2882.979
1.0	2.0	0.517608	(735.285888671875, 533.6328125)	2863.4216
1.0	2.0	0.44913906	(735.5123291015625, 533.5796508789062)	2816.338
1.0	2.0	0.44922036	(735.471435546875, 533.5447387695312)	2763.3457
1.0	2.0	0.49219733	(734.9066772460938, 533.2969970703125)	2723.2998
1.0	2.0	0.4321739	(735.1417236328125, 534.251220703125)	2522.33
1.0	2.0	0.46359333	(735.1558837890625, 534.742431640625)	2477.219
1.0	2.0	0.62306195	(734.3563232421875, 536.0053100585938)	2341.3665
1.0	2.0	0.6189652	(734.0631713867188, 536.5589599609375)	2283.5212
1.0	2.0	0.61593986	(734.22998046875, 537.240234375)	2296.0532
1.0	2.0	0.5692085	(734.3642578125, 537.00341796875)	2250.3188
1.0	2.0	0.5352638	(735.1756591796875, 537.908935546875)	2255.6306
1.0	2.0	0.53401524	(735.8553466796875, 538.3606567382812)	2303.7986
1.0	2.0	0.5436578	(736.1488037109375, 538.2980346679688)	2413.7007
1.0	2.0	0.54524046	(736.74072265625, 538.462646484375)	2493.4348
1.0	2.0	0.49291575	(736.9932861328125, 538.3075561523438)	2491.237
1.0	2.0	0.49784958	(736.945556640625, 537.7371826171875)	2502.1162
1.0	2.0	0.503098	(737.0857543945312, 537.8702392578125)	2528.374
1.0	2.0	0.50098926	(736.6256103515625, 537.305419921875)	2539.4731
1.0	2.0	0.4926558	(736.3843994140625, 537.5240478515625)	2594.9783
1.0	2.0	0.45930585	(736.2918701171875, 537.1237182617188)	2563.3708
1.0	2.0	0.5190153	(734.9874267578125, 535.7432250976562)	2735.7068
1.0	2.0	0.49971452	(735.1466064453125, 536.0185546875)	2618.5203
1.0	2.0	0.5103843	(734.0515747070312, 535.2769775390625)	2667.6428
1.0	2.0	0.5345539	(733.5013427734375, 534.9944458007812)	2688.2534
1.0	2.0	0.4749854	(734.0151977539062, 535.9642333984375)	2582.1865
1.0	2.0	0.48978144	(733.5931396484375, 535.06494140625)	2652.715
1.0	2.0	0.4022023	(734.7275390625, 536.9376220703125)	2540.708
1.0	2.0	0.38125822	(735.1553344726562, 537.6915893554688)	2552.6174
1.0	2.0	0.4210419	(735.9058837890625, 538.0753173828125)	2601.5964
1.0	4.0	0.16974102	(737.072509765625, 538.6317138671875)	2383.29
1.0	2.0	0.55557317	(736.626220703125, 536.3348999023438)	2752.9775
1.0	2.0	0.594095	(736.5784912109375, 534.9192504882812)	2839.2842
1.0	2.0	0.6462087	(736.080078125, 533.30712890625)	2864.8142
1.0	2.0	0.6436055	(735.51708984375, 531.8048095703125)	2831.2302
1.0	2.0	0.621784	(735.400390625, 531.855224609375)	2806.7495
1.0	2.0	0.5777474	(735.5904541015625, 532.8516845703125)	2710.6262
1.0	2.0	0.50065726	(734.953369140625, 534.2448120117188)	2533.9675
1.0	2.0	0.5027769	(734.4847412109375, 535.4612426757812)	2506.22
1.0	2.0	0.5756623	(734.8720703125, 538.659912109375)	2498.137
1.0	2.0	0.6485693	(733.970947265625, 537.8963012695312)	2595.2444
1.0	2.0	0.63718665	(733.396728515625, 537.3572998046875)	2557.2466
1.0	2.0	0.66398317	(734.246337890625, 537.952392578125)	2575.446
1.0	2.0	0.64753246	(733.6118774414062, 535.5423583984375)	2667.361
1.0	2.0	0.6457616	(733.7310791015625, 534.158203125)	2633.1528
1.0	2.0	0.64229834	(734.1695556640625, 533.470703125)	2629.0137
1.0	2.0	0.6061275	(734.7069091796875, 533.0208740234375)	2653.6309
1.0	2.0	0.6188547	(735.07958984375, 532.822998046875)	2711.2043
1.0	2.0	0.6361884	(734.888671875, 532.0927734375)	2732.181
1.0	2.0	0.608732	(734.9913330078125, 532.0931396484375)	2752.502
1.0	2.0	0.59650177	(734.65576171875, 532.1537475585938)	2776.9543
1.0	2.0	0.5824428	(735.088623046875, 532.5155029296875)	2792.6155
1.0	2.0	0.5660233	(735.1568603515625, 533.0101318359375)	2779.3076
1.0	2.0	0.54121023	(735.6220092773438, 533.2763061523438)	2712.9097
1.0	2.0	0.62821877	(735.1553955078125, 532.9992065429688)	2608.2502
1.0	2.0	0.6776597	(735.0834350585938, 533.28125)	2612.2556
1.0	2.0	0.6406381	(735.3455200195312, 534.1430053710938)	2495.795
1.0	2.0	0.65373015	(735.4447021484375, 533.8551635742188)	2438.189
1.0	2.0	0.65619385	(734.3997192382812, 532.747314453125)	2520.1855
1.0	2.0	0.68081564	(734.8292236328125, 535.1717529296875)	2527.3281
1.0	2.0	0.67431486	(735.2249145507812, 536.8405151367188)	2455.2415
1.0	2.0	0.6626988	(735.3458251953125, 537.8768310546875)	2489.4534
1.0	2.0	0.64860195	(735.6175537109375, 539.1536865234375)	2511.1228
1.0	2.0	0.61126405	(736.3753662109375, 539.2200927734375)	2430.8281
1.0	2.0	0.6426014	(734.6661376953125, 537.207275390625)	2513.806
1.0	2.0	0.6781345	(734.2940673828125, 534.9876098632812)	2800.152
1.0	2.0	0.7022278	(734.4638671875, 533.257080078125)	2891.26
1.0	2.0	0.615616	(735.9356689453125, 534.3753051757812)	2640.452
1.0	2.0	0.6079598	(736.6063232421875, 534.532958984375)	2540.9602
1.0	2.0	0.61809844	(736.626708984375, 534.504150390625)	2526.0388
1.0	2.0	0.5763507	(736.091064453125, 533.8591918945312)	2637.603
1.0	2.0	0.5579397	(736.1913452148438, 535.7673950195312)	2577.0608
1.0	2.0	0.5308823	(735.7891235351562, 536.836181640625)	2501.089
1.0	2.0	0.5882176	(735.388427734375, 538.0048828125)	2428.8345
1.0	2.0	0.60494214	(734.5579833984375, 538.0967407226562)	2388.2463
1.0	2.0	0.61350644	(734.2368774414062, 537.66064453125)	2519.93
1.0	2.0	0.626827	(734.1808471679688, 537.7073364257812)	2538.524
1.0	2.0	0.63133943	(734.26220703125, 537.23779296875)	2507.153
1.0	2.0	0.6272404	(734.1427612304688, 536.6972045898438)	2533.7478
1.0	2.0	0.6739082	(733.7056274414062, 534.1390380859375)	2641.2136
1.0	2.0	0.6371659	(734.9283447265625, 534.18359375)	2546.0247
1.0	2.0	0.614681	(735.3646240234375, 533.7291259765625)	2633.1812
1.0	2.0	0.61525327	(735.9903564453125, 534.578369140625)	2632.3967
1.0	2.0	0.5820026	(736.5449829101562, 536.2429809570312)	2491.629
1.0	2.0	0.596478	(737.0698852539062, 537.5208740234375)	2451.1465
1.0	2.0	0.6051636	(737.556396484375, 538.5202026367188)	2418.355
1.0	2.0	0.5818417	(737.5645751953125, 539.26171875)	2417.7031
1.0	2.0	0.59057045	(737.1526489257812, 539.725341796875)	2409.4658
1.0	2.0	0.59549713	(736.29833984375, 539.4788818359375)	2383.945
1.0	2.0	0.5533211	(735.6869506835938, 538.830322265625)	2308.0164
1.0	2.0	0.54113907	(735.8265380859375, 537.1738891601562)	2367.338
1.0	2.0	0.59437346	(735.6834716796875, 536.3052978515625)	2380.502
1.0	2.0	0.5846402	(735.58642578125, 535.789306640625)	2370.7478
1.0	2.0	0.595808	(735.5135498046875, 535.459228515625)	2385.9216
1.0	2.0	0.5803087	(735.2723388671875, 535.7432250976562)	2389.277
1.0	2.0	0.5702668	(735.3175048828125, 536.1818237304688)	2417.2703
1.0	2.0	0.5644919	(735.321533203125, 537.2049560546875)	2409.7568
1.0	2.0	0.63787526	(734.4483032226562, 537.8865966796875)	2329.6292
1.0	2.0	0.62365246	(734.469482421875, 538.3016967773438)	2352.412
1.0	2.0	0.6216009	(734.6018676757812, 537.9757080078125)	2398.6145
1.0	2.0	0.6134186	(734.8519897460938, 537.2402954101562)	2417.2969
1.0	2.0	0.62658757	(735.781005859375, 536.9841918945312)	2497.7676
1.0	2.0	0.62240785	(735.970947265625, 535.7056274414062)	2558.993
1.0	2.0	0.6117957	(736.1318359375, 534.1735229492188)	2746.6177
1.0	2.0	0.60306257	(736.2974853515625, 533.6691284179688)	2820.8145
1.0	2.0	0.61290514	(736.05029296875, 532.6679077148438)	2804.529
1.0	2.0	0.5967507	(735.20458984375, 532.18310546875)	2790.694
1.0	2.0	0.5572927	(734.94921875, 532.3566284179688)	2758.0383
1.0	2.0	0.54224205	(734.5145263671875, 533.2460327148438)	2738.1138
1.0	2.0	0.5695432	(733.951171875, 534.9339599609375)	2635.1804
1.0	2.0	0.5815634	(733.8668212890625, 537.51416015625)	2469.7102
1.0	2.0	0.62948275	(733.3890991210938, 538.0062255859375)	2398.4734
1.0	2.0	0.63350517	(732.8428955078125, 537.0985107421875)	2551.9844
1.0	2.0	0.65932274	(733.3956909179688, 538.940185546875)	2582.9832
1.0	2.0	0.6192773	(733.4717407226562, 539.2424926757812)	2619.9333
1.0	2.0	0.6186412	(734.1314086914062, 537.1948852539062)	2408.7942
1.0	2.0	0.608777	(734.7852783203125, 534.47802734375)	2487.4568
1.0	2.0	0.6311873	(735.0703125, 532.94189453125)	2605.1365
1.0	2.0	0.65215236	(734.9188232421875, 531.718017578125)	2698.5608
1.0	2.0	0.6389591	(735.115966796875, 531.8721923828125)	2767.2869
1.0	2.0	0.6007341	(734.708740234375, 532.3551025390625)	2773.917
1.0	2.0	0.59371376	(735.0771484375, 534.2301025390625)	2584.6108
